1 -> 0.704302 	- 0.704501 	| 0.000199 	-> 0s, 199.0ms
0 -> 0.704534 	- 0.705816 	| 0.001282 	-> 0s, 1282.0ms
1 -> 0.705846 	- 0.706014 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.706049 	- 0.706321 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.706352 	- 0.70652 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.706555 	- 0.707827 	| 0.001272 	-> 0s, 1272.0ms
1 -> 0.707857 	- 0.708024 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.708059 	- 0.709347 	| 0.001288 	-> 0s, 1288.0ms
1 -> 0.709377 	- 0.709546 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.70958 	- 0.709881 	| 0.000301 	-> 0s, 301.0ms
1 -> 0.709912 	- 0.710055 	| 0.000143 	-> 0s, 143.0ms
0 -> 0.710089 	- 0.711365 	| 0.001276 	-> 0s, 1276.0ms
1 -> 0.711395 	- 0.711595 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.711627 	- 0.7119 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.711931 	- 0.7121 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.712133 	- 0.713416 	| 0.001283 	-> 0s, 1283.0ms
1 -> 0.713448 	- 0.713617 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.713651 	- 0.713925 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.713956 	- 0.714123 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.714156 	- 0.71443 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.71446 	- 0.714628 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.714662 	- 0.715943 	| 0.001281 	-> 0s, 1281.0ms
